Time, Bin, Proportion, Type of immunity 
0, 0.507812, 0, Reduction 
0, 0.511719, 0, Reduction 
0, 0.515625, 0, Reduction 
0, 0.519531, 0, Reduction 
0, 0.523438, 0, Reduction 
0, 0.527344, 0, Reduction 
0, 0.53125, 0, Reduction 
0, 0.535156, 0, Reduction 
0, 0.539062, 0, Reduction 
0, 0.542969, 0, Reduction 
0, 0.546875, 0, Reduction 
0, 0.550781, 0, Reduction 
0, 0.554688, 0, Reduction 
0, 0.558594, 0, Reduction 
0, 0.5625, 0, Reduction 
0, 0.566406, 1.21624e-07, Reduction 
0, 0.570312, 0, Reduction 
0, 0.574219, 0, Reduction 
0, 0.578125, 0, Reduction 
0, 0.582031, 0, Reduction 
0, 0.585938, 0, Reduction 
0, 0.589844, 1.21624e-07, Reduction 
0, 0.59375, 1.21624e-07, Reduction 
0, 0.597656, 0, Reduction 
0, 0.601562, 0, Reduction 
0, 0.605469, 0, Reduction 
0, 0.609375, 0, Reduction 
0, 0.613281, 0, Reduction 
0, 0.617188, 0, Reduction 
0, 0.621094, 0, Reduction 
0, 0.625, 0, Reduction 
0, 0.628906, 0, Reduction 
0, 0.632812, 0, Reduction 
0, 0.636719, 0, Reduction 
0, 0.640625, 0, Reduction 
0, 0.644531, 0, Reduction 
0, 0.648438, 0, Reduction 
0, 0.652344, 0, Reduction 
0, 0.65625, 0, Reduction 
0, 0.660156, 0, Reduction 
0, 0.664062, 0, Reduction 
0, 0.667969, 0, Reduction 
0, 0.671875, 0, Reduction 
0, 0.675781, 0, Reduction 
0, 0.679688, 0, Reduction 
0, 0.683594, 0, Reduction 
0, 0.6875, 0, Reduction 
0, 0.691406, 0, Reduction 
0, 0.695312, 0, Reduction 
0, 0.699219, 0, Reduction 
0, 0.703125, 0, Reduction 
0, 0.707031, 0, Reduction 
0, 0.710938, 0, Reduction 
0, 0.714844, 0, Reduction 
0, 0.71875, 0, Reduction 
0, 0.722656, 0, Reduction 
0, 0.726562, 0, Reduction 
0, 0.730469, 0, Reduction 
0, 0.734375, 0, Reduction 
0, 0.738281, 0, Reduction 
0, 0.742188, 0, Reduction 
0, 0.746094, 0, Reduction 
0, 0.75, 1.21624e-07, Reduction 
0, 0.753906, 0, Reduction 
0, 0.757812, 1.21624e-07, Reduction 
0, 0.761719, 0, Reduction 
0, 0.765625, 1.21624e-07, Reduction 
0, 0.769531, 2.43247e-07, Reduction 
0, 0.773438, 0, Reduction 
0, 0.777344, 1.21624e-07, Reduction 
0, 0.78125, 0, Reduction 
0, 0.785156, 0, Reduction 
0, 0.789062, 1.21624e-07, Reduction 
0, 0.792969, 0, Reduction 
0, 0.796875, 1.21624e-07, Reduction 
0, 0.800781, 0, Reduction 
0, 0.804688, 0, Reduction 
0, 0.808594, 0, Reduction 
0, 0.8125, 0, Reduction 
0, 0.816406, 0, Reduction 
0, 0.820312, 0, Reduction 
0, 0.824219, 1.21624e-07, Reduction 
0, 0.828125, 0, Reduction 
0, 0.832031, 1.21624e-07, Reduction 
0, 0.835938, 0, Reduction 
0, 0.839844, 1.21624e-07, Reduction 
0, 0.84375, 0, Reduction 
0, 0.847656, 0, Reduction 
0, 0.851562, 0, Reduction 
0, 0.855469, 0, Reduction 
0, 0.859375, 0, Reduction 
0, 0.863281, 0, Reduction 
0, 0.867188, 0, Reduction 
0, 0.871094, 0, Reduction 
0, 0.875, 0, Reduction 
0, 0.878906, 0, Reduction 
0, 0.882812, 1.21624e-07, Reduction 
0, 0.886719, 0, Reduction 
0, 0.890625, 0, Reduction 
0, 0.894531, 1.21624e-07, Reduction 
0, 0.898438, 0, Reduction 
0, 0.902344, 0, Reduction 
0, 0.90625, 0, Reduction 
0, 0.910156, 0, Reduction 
0, 0.914062, 0, Reduction 
0, 0.917969, 0, Reduction 
0, 0.921875, 0, Reduction 
0, 0.925781, 0, Reduction 
0, 0.929688, 0, Reduction 
0, 0.933594, 0, Reduction 
0, 0.9375, 0, Reduction 
0, 0.941406, 0, Reduction 
0, 0.945312, 0, Reduction 
0, 0.949219, 0, Reduction 
0, 0.953125, 2.43247e-07, Reduction 
0, 0.957031, 0, Reduction 
0, 0.960938, 0, Reduction 
0, 0.964844, 0, Reduction 
0, 0.96875, 0, Reduction 
0, 0.972656, 0, Reduction 
0, 0.976562, 0, Reduction 
0, 0.980469, 0, Reduction 
0, 0.984375, 0, Reduction 
0, 0.988281, 0, Reduction 
0, 0.992188, 0, Reduction 
0, 0.996094, 0, Reduction 
0, 1, 0, Reduction 
0, 1.00391, 0, Reduction 
7, 0.00390625, 0.999409, Reduction 
7, 0.0078125, 2.43247e-07, Reduction 
7, 0.0117188, 2.43247e-07, Reduction 
7, 0.015625, 1.09461e-06, Reduction 
7, 0.0195312, 9.72989e-07, Reduction 
7, 0.0234375, 1.21624e-06, Reduction 
7, 0.0273438, 1.21624e-06, Reduction 
7, 0.03125, 1.94598e-06, Reduction 
7, 0.0351562, 2.31085e-06, Reduction 
7, 0.0390625, 2.31085e-06, Reduction 
7, 0.0429688, 2.0676e-06, Reduction 
7, 0.046875, 2.79734e-06, Reduction 
7, 0.0507812, 2.0676e-06, Reduction 
7, 0.0546875, 2.43247e-06, Reduction 
7, 0.0585938, 2.91897e-06, Reduction 
7, 0.0625, 2.67572e-06, Reduction 
7, 0.0664062, 3.77033e-06, Reduction 
7, 0.0703125, 2.43247e-06, Reduction 
7, 0.0742188, 2.91897e-06, Reduction 
7, 0.078125, 3.28384e-06, Reduction 
7, 0.0820312, 2.0676e-06, Reduction 
7, 0.0859375, 1.94598e-06, Reduction 
7, 0.0898438, 2.67572e-06, Reduction 
7, 0.09375, 2.91897e-06, Reduction 
7, 0.0976562, 1.70273e-06, Reduction 
7, 0.101562, 2.79734e-06, Reduction 
7, 0.105469, 2.67572e-06, Reduction 
7, 0.109375, 2.18922e-06, Reduction 
7, 0.113281, 2.5541e-06, Reduction 
7, 0.117188, 2.79734e-06, Reduction 
7, 0.121094, 2.67572e-06, Reduction 
7, 0.125, 2.91897e-06, Reduction 
7, 0.128906, 3.28384e-06, Reduction 
7, 0.132812, 2.79734e-06, Reduction 
7, 0.136719, 3.16221e-06, Reduction 
7, 0.140625, 2.43247e-06, Reduction 
7, 0.144531, 2.31085e-06, Reduction 
7, 0.148438, 2.18922e-06, Reduction 
7, 0.152344, 2.91897e-06, Reduction 
7, 0.15625, 2.5541e-06, Reduction 
7, 0.160156, 2.91897e-06, Reduction 
7, 0.164062, 3.64871e-06, Reduction 
7, 0.167969, 2.0676e-06, Reduction 
7, 0.171875, 2.43247e-06, Reduction 
7, 0.175781, 2.79734e-06, Reduction 
7, 0.179688, 2.31085e-06, Reduction 
7, 0.183594, 3.04059e-06, Reduction 
7, 0.1875, 2.79734e-06, Reduction 
7, 0.191406, 2.67572e-06, Reduction 
7, 0.195312, 3.64871e-06, Reduction 
7, 0.199219, 1.58111e-06, Reduction 
7, 0.203125, 1.94598e-06, Reduction 
7, 0.207031, 3.40546e-06, Reduction 
7, 0.210938, 3.64871e-06, Reduction 
7, 0.214844, 2.0676e-06, Reduction 
7, 0.21875, 1.82435e-06, Reduction 
7, 0.222656, 2.18922e-06, Reduction 
7, 0.226562, 1.70273e-06, Reduction 
7, 0.230469, 2.5541e-06, Reduction 
7, 0.234375, 2.79734e-06, Reduction 
7, 0.238281, 2.79734e-06, Reduction 
7, 0.242188, 2.43247e-06, Reduction 
7, 0.246094, 2.18922e-06, Reduction 
7, 0.25, 3.40546e-06, Reduction 
7, 0.253906, 2.79734e-06, Reduction 
7, 0.257812, 2.79734e-06, Reduction 
7, 0.261719, 2.67572e-06, Reduction 
7, 0.265625, 2.5541e-06, Reduction 
7, 0.269531, 2.5541e-06, Reduction 
7, 0.273438, 2.31085e-06, Reduction 
7, 0.277344, 2.67572e-06, Reduction 
7, 0.28125, 2.5541e-06, Reduction 
7, 0.285156, 2.31085e-06, Reduction 
7, 0.289062, 2.43247e-06, Reduction 
7, 0.292969, 2.31085e-06, Reduction 
7, 0.296875, 2.31085e-06, Reduction 
7, 0.300781, 2.5541e-06, Reduction 
7, 0.304688, 3.16221e-06, Reduction 
7, 0.308594, 3.16221e-06, Reduction 
7, 0.3125, 2.31085e-06, Reduction 
7, 0.316406, 2.31085e-06, Reduction 
7, 0.320312, 2.18922e-06, Reduction 
7, 0.324219, 2.18922e-06, Reduction 
7, 0.328125, 2.18922e-06, Reduction 
7, 0.332031, 2.43247e-06, Reduction 
7, 0.335938, 2.43247e-06, Reduction 
7, 0.339844, 2.67572e-06, Reduction 
7, 0.34375, 2.31085e-06, Reduction 
7, 0.347656, 1.94598e-06, Reduction 
7, 0.351562, 1.33786e-06, Reduction 
7, 0.355469, 3.77033e-06, Reduction 
7, 0.359375, 2.79734e-06, Reduction 
7, 0.363281, 3.04059e-06, Reduction 
7, 0.367188, 1.82435e-06, Reduction 
7, 0.371094, 2.0676e-06, Reduction 
7, 0.375, 3.28384e-06, Reduction 
7, 0.378906, 2.31085e-06, Reduction 
7, 0.382812, 4.01358e-06, Reduction 
7, 0.386719, 2.43247e-06, Reduction 
7, 0.390625, 2.91897e-06, Reduction 
7, 0.394531, 1.58111e-06, Reduction 
7, 0.398438, 2.67572e-06, Reduction 
7, 0.402344, 1.82435e-06, Reduction 
7, 0.40625, 2.5541e-06, Reduction 
7, 0.410156, 2.0676e-06, Reduction 
7, 0.414062, 2.5541e-06, Reduction 
7, 0.417969, 1.82435e-06, Reduction 
7, 0.421875, 2.18922e-06, Reduction 
7, 0.425781, 1.21624e-06, Reduction 
7, 0.429688, 2.91897e-06, Reduction 
7, 0.433594, 2.18922e-06, Reduction 
7, 0.4375, 1.45948e-06, Reduction 
7, 0.441406, 1.94598e-06, Reduction 
7, 0.445312, 1.94598e-06, Reduction 
7, 0.449219, 2.18922e-06, Reduction 
7, 0.453125, 2.31085e-06, Reduction 
7, 0.457031, 2.67572e-06, Reduction 
7, 0.460938, 1.33786e-06, Reduction 
7, 0.464844, 2.18922e-06, Reduction 
7, 0.46875, 2.43247e-06, Reduction 
7, 0.472656, 1.58111e-06, Reduction 
7, 0.476562, 2.31085e-06, Reduction 
7, 0.480469, 1.58111e-06, Reduction 
7, 0.484375, 2.43247e-06, Reduction 
7, 0.488281, 2.0676e-06, Reduction 
7, 0.492188, 2.43247e-06, Reduction 
7, 0.496094, 1.45948e-06, Reduction 
7, 0.5, 2.67572e-06, Reduction 
7, 0.503906, 3.04059e-06, Reduction 
7, 0.507812, 2.0676e-06, Reduction 
7, 0.511719, 2.18922e-06, Reduction 
7, 0.515625, 2.5541e-06, Reduction 
7, 0.519531, 1.94598e-06, Reduction 
7, 0.523438, 1.82435e-06, Reduction 
7, 0.527344, 2.79734e-06, Reduction 
7, 0.53125, 2.67572e-06, Reduction 
7, 0.535156, 3.16221e-06, Reduction 
7, 0.539062, 2.5541e-06, Reduction 
7, 0.542969, 2.91897e-06, Reduction 
7, 0.546875, 1.94598e-06, Reduction 
7, 0.550781, 1.94598e-06, Reduction 
7, 0.554688, 2.91897e-06, Reduction 
7, 0.558594, 2.18922e-06, Reduction 
7, 0.5625, 2.91897e-06, Reduction 
7, 0.566406, 1.21624e-06, Reduction 
7, 0.570312, 1.70273e-06, Reduction 
7, 0.574219, 2.43247e-06, Reduction 
7, 0.578125, 2.0676e-06, Reduction 
7, 0.582031, 1.21624e-06, Reduction 
7, 0.585938, 2.18922e-06, Reduction 
7, 0.589844, 2.18922e-06, Reduction 
7, 0.59375, 1.82435e-06, Reduction 
7, 0.597656, 2.79734e-06, Reduction 
7, 0.601562, 2.31085e-06, Reduction 
7, 0.605469, 2.67572e-06, Reduction 
7, 0.609375, 1.82435e-06, Reduction 
7, 0.613281, 2.0676e-06, Reduction 
7, 0.617188, 1.82435e-06, Reduction 
7, 0.621094, 1.70273e-06, Reduction 
7, 0.625, 2.43247e-06, Reduction 
7, 0.628906, 2.5541e-06, Reduction 
7, 0.632812, 1.82435e-06, Reduction 
7, 0.636719, 1.33786e-06, Reduction 
7, 0.640625, 1.82435e-06, Reduction 
7, 0.644531, 1.82435e-06, Reduction 
7, 0.648438, 1.94598e-06, Reduction 
7, 0.652344, 2.0676e-06, Reduction 
7, 0.65625, 2.0676e-06, Reduction 
7, 0.660156, 2.0676e-06, Reduction 
7, 0.664062, 2.67572e-06, Reduction 
7, 0.667969, 1.94598e-06, Reduction 
7, 0.671875, 2.43247e-06, Reduction 
7, 0.675781, 1.21624e-06, Reduction 
7, 0.679688, 2.0676e-06, Reduction 
7, 0.683594, 1.94598e-06, Reduction 
7, 0.6875, 2.0676e-06, Reduction 
7, 0.691406, 2.0676e-06, Reduction 
7, 0.695312, 1.33786e-06, Reduction 
7, 0.699219, 1.94598e-06, Reduction 
7, 0.703125, 1.94598e-06, Reduction 
7, 0.707031, 2.18922e-06, Reduction 
7, 0.710938, 2.5541e-06, Reduction 
7, 0.714844, 1.70273e-06, Reduction 
7, 0.71875, 1.45948e-06, Reduction 
7, 0.722656, 2.43247e-06, Reduction 
7, 0.726562, 1.70273e-06, Reduction 
7, 0.730469, 2.18922e-06, Reduction 
7, 0.734375, 1.45948e-06, Reduction 
7, 0.738281, 1.21624e-06, Reduction 
7, 0.742188, 2.31085e-06, Reduction 
7, 0.746094, 1.70273e-06, Reduction 
7, 0.75, 2.18922e-06, Reduction 
7, 0.753906, 2.43247e-06, Reduction 
7, 0.757812, 1.94598e-06, Reduction 
7, 0.761719, 2.5541e-06, Reduction 
7, 0.765625, 1.21624e-06, Reduction 
7, 0.769531, 2.31085e-06, Reduction 
7, 0.773438, 1.33786e-06, Reduction 
7, 0.777344, 3.04059e-06, Reduction 
7, 0.78125, 3.52708e-06, Reduction 
7, 0.785156, 2.18922e-06, Reduction 
7, 0.789062, 1.33786e-06, Reduction 
7, 0.792969, 2.5541e-06, Reduction 
7, 0.796875, 1.94598e-06, Reduction 
7, 0.800781, 2.79734e-06, Reduction 
7, 0.804688, 1.94598e-06, Reduction 
7, 0.808594, 1.45948e-06, Reduction 
7, 0.8125, 2.31085e-06, Reduction 
7, 0.816406, 2.0676e-06, Reduction 
7, 0.820312, 3.40546e-06, Reduction 
7, 0.824219, 2.31085e-06, Reduction 
7, 0.828125, 2.5541e-06, Reduction 
7, 0.832031, 2.18922e-06, Reduction 
7, 0.835938, 1.58111e-06, Reduction 
7, 0.839844, 2.5541e-06, Reduction 
7, 0.84375, 2.43247e-06, Reduction 
7, 0.847656, 2.43247e-06, Reduction 
7, 0.851562, 1.58111e-06, Reduction 
7, 0.855469, 3.28384e-06, Reduction 
7, 0.859375, 3.04059e-06, Reduction 
7, 0.863281, 1.94598e-06, Reduction 
7, 0.867188, 2.31085e-06, Reduction 
7, 0.871094, 1.70273e-06, Reduction 
7, 0.875, 3.04059e-06, Reduction 
7, 0.878906, 2.0676e-06, Reduction 
7, 0.882812, 2.67572e-06, Reduction 
7, 0.886719, 2.43247e-06, Reduction 
7, 0.890625, 1.94598e-06, Reduction 
7, 0.894531, 2.79734e-06, Reduction 
7, 0.898438, 1.70273e-06, Reduction 
7, 0.902344, 2.67572e-06, Reduction 
7, 0.90625, 2.43247e-06, Reduction 
7, 0.910156, 2.0676e-06, Reduction 
7, 0.914062, 3.28384e-06, Reduction 
7, 0.917969, 2.91897e-06, Reduction 
7, 0.921875, 2.31085e-06, Reduction 
7, 0.925781, 2.0676e-06, Reduction 
7, 0.929688, 9.72989e-07, Reduction 
7, 0.933594, 2.0676e-06, Reduction 
7, 0.9375, 2.43247e-06, Reduction 
7, 0.941406, 2.18922e-06, Reduction 
7, 0.945312, 2.5541e-06, Reduction 
7, 0.949219, 2.91897e-06, Reduction 
7, 0.953125, 9.72989e-07, Reduction 
7, 0.957031, 2.91897e-06, Reduction 
7, 0.960938, 3.04059e-06, Reduction 
7, 0.964844, 3.04059e-06, Reduction 
7, 0.96875, 2.31085e-06, Reduction 
7, 0.972656, 3.40546e-06, Reduction 
7, 0.976562, 2.0676e-06, Reduction 
7, 0.980469, 2.79734e-06, Reduction 
7, 0.984375, 2.79734e-06, Reduction 
7, 0.988281, 2.0676e-06, Reduction 
7, 0.992188, 2.79734e-06, Reduction 
7, 0.996094, 4.01358e-06, Reduction 
7, 1, 2.91897e-06, Reduction 
7, 1.00391, 0, Reduction 
14, 0.00390625, 0.998694, Reduction 
14, 0.0078125, 3.64871e-07, Reduction 
14, 0.0117188, 1.21624e-06, Reduction 
14, 0.015625, 2.67572e-06, Reduction 
14, 0.0195312, 3.04059e-06, Reduction 
14, 0.0234375, 3.16221e-06, Reduction 
14, 0.0273438, 4.6217e-06, Reduction 
14, 0.03125, 4.37845e-06, Reduction 
14, 0.0351562, 3.77033e-06, Reduction 
14, 0.0390625, 3.40546e-06, Reduction 
14, 0.0429688, 5.59469e-06, Reduction 
14, 0.046875, 5.59469e-06, Reduction 
14, 0.0507812, 5.10819e-06, Reduction 
14, 0.0546875, 6.32443e-06, Reduction 
14, 0.0585938, 5.95956e-06, Reduction 
14, 0.0625, 6.44605e-06, Reduction 
14, 0.0664062, 5.47306e-06, Reduction 
14, 0.0703125, 6.2028e-06, Reduction 
14, 0.0742188, 5.83793e-06, Reduction 
14, 0.078125, 4.1352e-06, Reduction 
14, 0.0820312, 5.83793e-06, Reduction 
14, 0.0859375, 5.95956e-06, Reduction 
14, 0.0898438, 5.83793e-06, Reduction 
14, 0.09375, 5.47306e-06, Reduction 
14, 0.0976562, 7.29742e-06, Reduction 
14, 0.101562, 5.47306e-06, Reduction 
14, 0.105469, 6.81092e-06, Reduction 
14, 0.109375, 5.59469e-06, Reduction 
14, 0.113281, 6.08118e-06, Reduction 
14, 0.117188, 6.08118e-06, Reduction 
14, 0.121094, 7.05417e-06, Reduction 
14, 0.125, 6.32443e-06, Reduction 
14, 0.128906, 7.41904e-06, Reduction 
14, 0.132812, 6.32443e-06, Reduction 
14, 0.136719, 5.35144e-06, Reduction 
14, 0.140625, 5.35144e-06, Reduction 
14, 0.144531, 4.6217e-06, Reduction 
14, 0.148438, 5.22982e-06, Reduction 
14, 0.152344, 7.90553e-06, Reduction 
14, 0.15625, 5.22982e-06, Reduction 
14, 0.160156, 5.35144e-06, Reduction 
14, 0.164062, 5.10819e-06, Reduction 
14, 0.167969, 4.86494e-06, Reduction 
14, 0.171875, 5.22982e-06, Reduction 
14, 0.175781, 7.05417e-06, Reduction 
14, 0.179688, 7.66229e-06, Reduction 
14, 0.183594, 5.10819e-06, Reduction 
14, 0.1875, 4.6217e-06, Reduction 
14, 0.191406, 5.59469e-06, Reduction 
14, 0.195312, 7.66229e-06, Reduction 
14, 0.199219, 7.29742e-06, Reduction 
14, 0.203125, 4.74332e-06, Reduction 
14, 0.207031, 3.77033e-06, Reduction 
14, 0.210938, 5.47306e-06, Reduction 
14, 0.214844, 4.37845e-06, Reduction 
14, 0.21875, 6.81092e-06, Reduction 
14, 0.222656, 6.81092e-06, Reduction 
14, 0.226562, 5.59469e-06, Reduction 
14, 0.230469, 5.22982e-06, Reduction 
14, 0.234375, 6.32443e-06, Reduction 
14, 0.238281, 6.32443e-06, Reduction 
14, 0.242188, 5.22982e-06, Reduction 
14, 0.246094, 6.56767e-06, Reduction 
14, 0.25, 6.2028e-06, Reduction 
14, 0.253906, 4.50007e-06, Reduction 
14, 0.257812, 5.71631e-06, Reduction 
14, 0.261719, 6.6893e-06, Reduction 
14, 0.265625, 4.86494e-06, Reduction 
14, 0.269531, 5.95956e-06, Reduction 
14, 0.273438, 6.32443e-06, Reduction 
14, 0.277344, 7.17579e-06, Reduction 
14, 0.28125, 4.74332e-06, Reduction 
14, 0.285156, 6.08118e-06, Reduction 
14, 0.289062, 8.14878e-06, Reduction 
14, 0.292969, 6.32443e-06, Reduction 
14, 0.296875, 4.50007e-06, Reduction 
14, 0.300781, 5.71631e-06, Reduction 
14, 0.304688, 4.98657e-06, Reduction 
14, 0.308594, 4.86494e-06, Reduction 
14, 0.3125, 5.95956e-06, Reduction 
14, 0.316406, 5.22982e-06, Reduction 
14, 0.320312, 4.98657e-06, Reduction 
14, 0.324219, 5.10819e-06, Reduction 
14, 0.328125, 5.22982e-06, Reduction 
14, 0.332031, 4.74332e-06, Reduction 
14, 0.335938, 5.35144e-06, Reduction 
14, 0.339844, 5.59469e-06, Reduction 
14, 0.34375, 7.29742e-06, Reduction 
14, 0.347656, 4.6217e-06, Reduction 
14, 0.351562, 5.35144e-06, Reduction 
14, 0.355469, 5.59469e-06, Reduction 
14, 0.359375, 5.47306e-06, Reduction 
14, 0.363281, 6.2028e-06, Reduction 
14, 0.367188, 4.98657e-06, Reduction 
14, 0.371094, 5.59469e-06, Reduction 
14, 0.375, 5.22982e-06, Reduction 
14, 0.378906, 5.71631e-06, Reduction 
14, 0.382812, 4.1352e-06, Reduction 
14, 0.386719, 5.83793e-06, Reduction 
14, 0.390625, 5.71631e-06, Reduction 
14, 0.394531, 3.52708e-06, Reduction 
14, 0.398438, 5.22982e-06, Reduction 
14, 0.402344, 5.22982e-06, Reduction 
14, 0.40625, 4.25683e-06, Reduction 
14, 0.410156, 5.10819e-06, Reduction 
14, 0.414062, 3.64871e-06, Reduction 
14, 0.417969, 4.01358e-06, Reduction 
14, 0.421875, 4.25683e-06, Reduction 
14, 0.425781, 4.74332e-06, Reduction 
14, 0.429688, 5.10819e-06, Reduction 
14, 0.433594, 5.35144e-06, Reduction 
14, 0.4375, 5.10819e-06, Reduction 
14, 0.441406, 3.52708e-06, Reduction 
14, 0.445312, 5.71631e-06, Reduction 
14, 0.449219, 4.37845e-06, Reduction 
14, 0.453125, 4.37845e-06, Reduction 
14, 0.457031, 4.98657e-06, Reduction 
14, 0.460938, 3.16221e-06, Reduction 
14, 0.464844, 5.10819e-06, Reduction 
14, 0.46875, 5.10819e-06, Reduction 
14, 0.472656, 4.50007e-06, Reduction 
14, 0.476562, 3.64871e-06, Reduction 
14, 0.480469, 4.86494e-06, Reduction 
14, 0.484375, 6.2028e-06, Reduction 
14, 0.488281, 4.86494e-06, Reduction 
14, 0.492188, 5.10819e-06, Reduction 
14, 0.496094, 5.22982e-06, Reduction 
14, 0.5, 4.25683e-06, Reduction 
14, 0.503906, 4.86494e-06, Reduction 
14, 0.507812, 6.6893e-06, Reduction 
14, 0.511719, 4.50007e-06, Reduction 
14, 0.515625, 6.44605e-06, Reduction 
14, 0.519531, 5.10819e-06, Reduction 
14, 0.523438, 5.47306e-06, Reduction 
14, 0.527344, 4.25683e-06, Reduction 
14, 0.53125, 3.77033e-06, Reduction 
14, 0.535156, 5.47306e-06, Reduction 
14, 0.539062, 5.22982e-06, Reduction 
14, 0.542969, 4.1352e-06, Reduction 
14, 0.546875, 4.1352e-06, Reduction 
14, 0.550781, 4.86494e-06, Reduction 
14, 0.554688, 4.6217e-06, Reduction 
14, 0.558594, 5.47306e-06, Reduction 
14, 0.5625, 4.25683e-06, Reduction 
14, 0.566406, 4.98657e-06, Reduction 
14, 0.570312, 4.25683e-06, Reduction 
14, 0.574219, 4.37845e-06, Reduction 
14, 0.578125, 6.08118e-06, Reduction 
14, 0.582031, 4.6217e-06, Reduction 
14, 0.585938, 5.10819e-06, Reduction 
14, 0.589844, 4.86494e-06, Reduction 
